"Clean Plaintiff","Plaintiff Type","2010","2011","2012","2013","2014"
"Buckmoor Manor Homeowners Ass'N,;","Misc","0","1","0","0","0"
"Sunset Apartments LLC;","Misc","0","0","0","0","2"
"20 EAST APARTMENTS LLC;","Misc","0","0","0","4","0"
"Bridgeport Commons HOA, Inc; ","Misc","0","1","0","0","0"
"Kensington Commons HOA, Inc; ","Misc","0","0","0","0","6"
"Steininger Properties Llc; ","Misc","0","0","1","0","0"
"MARINERS  VILLAGE APARTMENTS; ","Misc","6","0","0","0","0"
"WASHINGTON-COLFAX APARTMENTS;","Misc","0","0","0","1","0"
"CEDAR RUN APARTMENTS;","Misc","16","10","4","6","15"
"WEST WILLOW PROPERTIES LLC;","Misc","0","0","0","1","2"
"Reed Real Estate LLC III;","Misc","0","2","2","5","4"
"Emergency Medical Group/RVH; Imc Credit Services; Riverview Hospital;","Medical","1","0","0","0","0"
"VALPARAISO HIGH SCHOOL;","Government","0","63","1","0","0"
"The Village of WestClay Owners Association Inc;","Misc","0","0","0","1","0"
"Village Apartments;","Misc","0","3","5","2","3"
"Allgood &amp; O'Neal Properties, LLC;","Misc","0","0","0","1","0"
"Arrowwoods Apartments; The Flats at Meridian Hill f/k/a Arrowwoods Apts; ","Misc","0","0","0","0","1"
"Matrix Properties Inc;","Misc","1","0","0","0","0"
"Precision Property Mgmt. Co., Inc.;","Misc","0","4","8","2","4"
"Herman &amp; Kittle Properties As                          ;","Misc","0","0","0","0","4"
"Indy Property 2 LLC; ","Misc","0","0","0","0","1"
"SUGAR BUSH FARMS PROPERTY OWNERS ASSOCIATION, INC.;","Misc","0","0","3","0","0"
"Garrett Properties LLC;","Misc","0","0","0","0","1"
"Wapehani Hills Apartments;","Misc","11","0","1","0","0"
"Geist Harbours Property Owners Association; ","Misc","0","0","0","0","1"
"Has Real Estate Llc;","Misc","0","1","1","0","0"
"Edinburgh Comm School Corp.                          ;","Government","1","0","0","0","0"
"Zidan Management Group Inc as managing agent for Country Lake Apartments; ","Misc","1","0","0","0","0"
"Crown Plaza Apartments;","Misc","5","7","5","7","3"
"Valley Manor Apts;","Misc","4","0","0","0","0"
"Hadley; Lakeside Pointe At Nora Apartments; ","Misc","0","1","0","0","0"
"FLAHERTY &amp; COLLINS PROPERTIES AS MANAGING AGENT FOR BROWNSBURG CROSSING APARTMENTS;","Misc","0","0","0","5","7"
"Metro Real Estate Inc;","Misc","44","132","146","205","183"
"J C Hart Compnay as managing agent for the owner of Grassy Creek Apartments; ","Misc","1","0","0","0","0"
"The Village of West Clay Owners Assn Inc;","Misc","2","0","0","0","0"
"Central Property Mgmt, LLC; ","Misc","0","1","0","0","0"
"Complete Real Estate Solutions, LLC; ","Misc","24","63","78","81","75"
"Fallwood Apartments; North Willow Apartments; ","Misc","0","0","0","1","0"
"Zidan Management Group, Inc as managing agent for the owner of Marina Apartments; ","Misc","0","12","24","41","23"
"Flaherty And Collins Properties as Managing Agent for Westlake Apartments; ","Misc","1","0","0","0","0"
"Willows Of Coventry Apartments;","Misc","7","7","1","5","3"
"Towne Properties LLC;","Misc","0","0","0","14","37"
"Nadynn International Gracie Properties, Agent; ","Misc","1","0","0","0","0"
"The Cottages of Fall Creek by Cardinal Accts; The Cottages of Fall Creek by Collection Assignee Cardinal Accounts INC.; ","Misc","0","1","0","0","0"
"Metropolitian Property &amp; Caualty Ins Co a//s/o Craig Cooley and Craig Cooley; ","Misc","0","0","1","0","0"
"Red Oak Properties Invest Llc Dba; Tamarack Mhp;","Misc","0","3","0","0","0"
"R &amp; L Investment Properties Ll;","Misc","1","0","0","0","0"
"Northwoods Apartments; ","Misc","0","0","0","0","5"
"Evansville Pediatric Dentistry;","Medical","24","18","14","11","14"
"Aspen Village Apartments; Westlake Apartments; ","Misc","0","1","0","2","0"
"City Of Michigan City;","Government","1","0","1","0","0"
"Winterwood Properties Llc; ","Misc","1","0","0","0","0"
"Pavilion  Properties and Spring Lake Apt;","Misc","0","0","0","0","1"
"TWA Management as management agent for the owner of Constitution Gardens Apartment; TWA Management as managing agent for the of Constitution Gardens Apartments; TWG Management as managing agenat for the owner of Constitution Gardens Apartments; ","Misc","0","0","0","0","1"
"Country View Apartment;","Misc","0","0","1","0","0"
"Sure Real Estate, LLC;","Misc","1","0","0","0","0"
"Lake Haven Property Owners;","Misc","0","0","0","1","0"
"POM PROPERTIES;","Misc","0","1","0","0","0"
"Town Of Bristol;","Government","0","6","0","0","0"
"GENESIS MEDICAL SOLUTION LLC;","Medical","0","0","0","1","0"
"Olympus Properties, LLC; Senex Services Corp.;","Misc","0","1","0","0","0"
"J C Hart Company as managing agent for the owner of Grassy Creek Apartments; ","Misc","1","0","0","0","0"
"Village Green Apts;","Misc","4","2","4","2","5"
"Enderline Properties; ","Misc","10","0","0","0","0"
"Villas At Theatre Commons;","Misc","0","0","1","0","0"
"SRS REAL ESTATES PARTNERS; ","Misc","1","0","0","0","0"
"City Of Westfield;","Government","1","0","0","0","0"
"FLAHERTY  COLLINS  PROPERTIES as managing agent for WESTLAKE  APTS; ","Misc","1","0","0","0","0"
"Herman &amp; Kittle Properties, Inc. as managing Agent for Beacon Pointe Apartments;","Misc","0","0","0","0","3"
"David H. Southern dba Sobro Properties; ","Misc","0","0","0","0","1"
"Voll Properties LLC; ","Misc","0","2","1","0","0"
"Northpoint Village Community Ass'n, Inc; ","Misc","0","0","4","1","0"
"Towne Home Properties, Inc.;","Misc","0","0","0","2","0"
"Kline Properties                          ;","Misc","0","1","1","0","0"
"Delano Properties;","Misc","1","0","0","0","0"
"New Bridge Apartments LLC; ","Misc","0","0","0","0","8"
"Autumn Woods Apartments; Stallard &amp; Associates, Inc; ","Misc","0","1","0","0","0"
"Omni Property Management as Managing Agent For The Owner Of Yorktowne Farms;","Misc","0","0","0","0","1"
"Yardley Manor Homeowners Assoc;","Misc","0","1","0","0","0"
"William Penn Commons; ","Misc","0","1","0","0","0"
"South Bend Community School Co","Government","556","739","534","609","743"
"Barclays","Major Bank","239","347","186","110","210"
"Auburn Meadows Property Owners;","Misc","1","0","0","0","0"
"Byforty Properties LLC; Fowlkes; ","Misc","0","1","0","0","0"
"JNK Properties;","Misc","0","0","2","0","0"
"Memo Properties;","Misc","0","0","0","0","1"
"SUN COMMUNITIES INC as managing  agent for the owner of WEST GLEN VILLAGE; ","Misc","5","0","0","0","0"
"Empirian Property Management, Inc. as managing agent for Marabou Mills Apts.; ","Misc","0","5","0","0","0"
"City Of Elwood/Water;","Government","64","1","0","0","0"
"B&amp;D Properties Llc;","Misc","36","14","2","1","0"
"Second Emerson Commons Way Llc; ","Misc","0","1","0","0","0"
"Pedcor  Homes Corp Mg Agt Owner Echo Ridge Luxury Apartments; ","Misc","0","12","18","14","0"
"BROWNSBURG CROSSING APARTMENTS BY MANAGING AGENT;","Misc","0","3","18","7","0"
"Polo Run Apartments; ","Misc","7","9","0","0","0"
"Advanced Debt Collection Inc; Keystone Property Mgmt Of Indiana, Llc; ","Misc","0","0","2","0","0"
"Dawn Til Dusk Property; ","Misc","0","0","0","1","7"
"DDW Properties LLC; DDW Properties, LLC By:  Advanced Debt Collection, Inc.; ","Misc","0","0","1","0","0"
"TOWN &amp; CONTRY APARTMENTS;","Misc","0","0","0","1","0"
"Lamar Design Properties Llc                          ;","Misc","0","0","0","1","0"
"Evergreen Property, LLC; ","Misc","0","0","1","0","0"
"Cheswick Village Apartments; ","Misc","2","0","0","0","0"
"Cornett Properties; LaFever; ","Misc","0","0","0","1","0"
"Marshall Properties LLC;","Misc","0","0","0","0","1"
"The Woods at Geist Overlook Property Owners Assn Inc;","Misc","1","0","0","0","0"
"Skyview Apartments;","Misc","7","1","6","4","8"
"Uhrig Apartments;","Misc","0","0","0","0","1"
"Vision Quest Properties, LLC; ","Misc","0","1","0","0","0"
"JOURNEY HOMES PROPERTY MGMT;","Misc","0","0","0","0","1"
"Punum Properties, LLC; Van Winkle; ","Misc","0","1","0","0","0"
"FLAHERTY COLLINS PROPERTIES as manageing AGENT for WESTLAKE APTS; ","Misc","37","0","0","0","0"
"CMA Properties, LLC &amp; Lifestyle Property Management, LLC; ","Misc","0","0","0","1","0"
"The Courts Apartments; ","Misc","34","0","0","0","0"
"The Housing Authority Of The City Of Charlestown Indiana;","Government","2","8","1","0","0"
"Warren Properties;","Misc","0","3","3","0","2"
"CENTRAL HIGH APARTMENTS, LLC; ","Misc","0","0","1","0","1"
"Crosslake Apartments;","Misc","5","0","0","0","0"
"PHOENIX PROPERTIES/S.MATHEWS;","Misc","0","0","0","1","0"
"Cambridge Sqaure Apartments;","Misc","9","2","4","3","2"
"Lakeside Manor Westhomeowners Association; ","Misc","0","0","1","0","0"
"Meridian Property Holdings; ","Misc","0","0","0","6","1"
"Value Real Estate Holdings LLC; ","Misc","0","0","5","0","6"
"Transitions Construction &amp; Property Management LLC; ","Misc","0","0","0","0","1"
"Axiom Property Management, LLC.; Discover Properties and Axiom Prop. Mgmt; ","Misc","0","1","0","0","0"
"Towne Properties Asset Management Company as agent for Kingston Square Apartment; ","Misc","0","0","0","0","109"
"Hunter's Run Apartments, LP;","Misc","0","0","0","2","4"
"Charles A. Beard Memorial School Corp.;","Government","0","0","10","0","0"
"St Andrews Apartments                          ;","Misc","0","1","1","2","2"
"Cambridge Properties Llc;","Misc","0","0","1","0","0"
"MORGAN HOMESTEADPROPERTIES;","Misc","0","1","0","0","0"
"Elite Property Solutions of IN LLC; ","Misc","0","0","0","1","0"
"Ems Property Management;","Misc","1","3","6","0","1"
"Northgate Village Cooperative;","Misc","0","16","4","1","0"
"Dynasty Properties; Elkhart Greens Apts;","Misc","1","0","0","0","0"
"Tjc Properties Llc;","Misc","1","0","0","0","0"
"Garden Royal Apartments;","Misc","0","0","1","2","0"
"VILLAGE GREEN MANAGEMENT COMPANY AS MANAGING AGENT FOR ENGLISH VILLAGE APARTMENT; ","Misc","0","0","0","4","0"
"NCL Properties Inc.;","Misc","0","0","0","1","0"
"BROADWAY VILLAGE APARTMENTS; ","Misc","0","0","0","0","1"
"Kalia Property;","Misc","0","0","1","0","7"
"Monon Place Apartments; ","Misc","2","2","4","3","2"
"GRACIE PROPERTIES, LLC; ","Misc","0","6","9","9","0"
"Indianapolis Downtown Real Estate; ","Misc","2","0","0","0","0"
"CNC Invstmnts Inc mngn The Cottages of Fall Creek; ","Misc","0","0","1","0","0"
"VALS'S PROPERTY MANAGEMENT;","Misc","0","0","0","0","1"
"Black Hawk Apartments;","Misc","5","11","21","22","18"
"Property Solutions Inc;","Misc","2","0","0","0","1"
"SUN COMMUNITIES INC  as managing agent for the owner of WESTGLEN VILLAGE; ","Misc","7","0","0","0","0"
"PROPERTY LIQUIADATORS, INC TIMLOVELESS;","Misc","0","0","1","0","0"
"The Ardizzone Group as agent for Cheswick Village Apartments; ","Misc","0","0","3","0","0"
"Bixby Medical Center-N;","Medical","0","0","1","0","1"
"DJ Lanahan Property Mgt. LLC.; ","Misc","0","1","0","0","0"
"AJP Properties, LLC; Indiana Land Trust 2410; ","Misc","0","0","0","0","1"
"RENT TO OWN PROPERTIES; ","Misc","0","0","1","0","0"
"College Courts Of Nora; Ivy Knoll Apartments; ","Misc","0","1","0","0","0"
"Lexington Park Apartments-Kohner Properties; ","Misc","0","9","0","0","0"
"BRE/US INDUSTRIAL PROPERTIES, L.L.C.; ","Misc","0","0","0","0","1"
"Carrington Commons HOA, Inc; ","Misc","0","4","4","3","0"
"Anthony Ragucci by Advanced Debt Collection, INC; Anthony Ragucci; TR Property Management Llc; ","Misc","0","0","1","0","0"
"Marten Property Dvlpmnt mngn Lawrence Crossing Apts; ","Misc","0","0","1","1","0"
"Cardinal Real Estate; ","Misc","0","0","0","1","0"
"Properties; ","Misc","1","0","0","0","0"
"LDT Properties;","Misc","0","0","0","0","1"
"Advanced Debt Collection, Inc.; Apex Property Management , Inc; ","Misc","1","0","0","0","0"
"Hash &amp; Benedict Properties By Advanced Debt Collection, Inc.; Hash &amp; Benedict Properties, LLC; ","Misc","0","1","0","0","0"
"Kenwood V Apartments LP; ","Misc","2","0","0","0","0"
"Herman &amp; Kittle Properties                          ; The Cottages @ Sheek Road;","Misc","0","0","0","1","0"
"Prm Companies Llc D/B/A Highland Hills Apartments;","Misc","0","1","0","0","0"
"Millennium Property Management;","Misc","10","0","0","0","0"
"Renaissance Rentals Real Estate, LLC;","Misc","0","0","0","0","1"
"Plaza Square Apartments;","Misc","0","0","0","5","0"
"Wininger Real Estate;","Misc","0","0","0","1","2"
"Goebel Properties;","Misc","12","3","0","0","0"
"wildwood village  apts; ","Misc","3","0","0","0","0"
"International  Village By Collection Assignee Cardinal Accts Inc; Suncrest Apts; ","Misc","0","3","0","0","0"
"AJP REAL ESTATE, LLC;","Misc","0","1","0","1","0"
"Hoosier Property Holding, Inc.;","Misc","0","0","0","0","1"
"""BINDER PROPERTIES"""",LLC"""""";","Misc","0","0","0","1","0"
"BUCK CREEK VILLAGE HOMEOWNERS ASSOCIATION, INC; ","Misc","0","0","0","0","1"
"Investors Property Management;","Misc","0","0","0","1","3"
"Summit Account","Collection Agency","560","712","748","747","591"
"North Vernon Utilites;","Utility","0","1","0","0","0"
"Meadowbrook Apartments;","Misc","0","3","0","0","1"
"Wilson's Property Management Services; ","Misc","0","0","0","0","1"
"Discover Properties PMG LLP; Hayes; ","Misc","1","0","0","0","0"
"Wing / WING APARTMENTS;","Misc","0","1","0","0","0"
"Lakeland Apartments; Lakeland Associates LP;","Misc","0","0","0","0","1"
"CARRINGTON PROPERTY SERVICE LLC; ","Misc","0","0","0","0","1"
"B &amp; T Real Estate Llc;","Misc","1","0","0","0","0"
"First Franklin Properties, Llc; ","Misc","0","2","3","0","0"
"AMG Property Management LLC; ","Misc","0","0","5","10","57"
"MCKINLEY WOODS APARTMENTS;","Misc","1","0","1","0","0"
"Parsley Properties Llc;","Misc","0","0","3","4","2"
"Silver Property Managemnt INC; ","Misc","1","0","0","0","0"
"RESOURCE RESIDENTIAL  AS   OWNER OF INTERNATIONAL  VILLAGE  BY COLLECTION ASSIGN; ","Misc","23","0","0","0","0"
"Fister Properties Inc; ","Misc","0","0","0","0","1"
"Herman &amp; Kittle Properties Llc  As                          ;","Misc","0","0","0","0","1"
"Action Property Management &amp; Realty, INC.;","Misc","2","0","0","0","0"
"BANKO PROPERTY MANAGEMENT LLC;","Misc","0","0","1","16","16"
"Fort Wayne Property Management, LLC;","Misc","0","0","0","0","2"
"Olive Branch Manor Community Associ                         ;","Misc","0","0","1","0","0"
"US Real Estate Holdings; ","Misc","0","0","4","0","4"
"Prefeered Anesthesia Consultants;","Medical","0","0","1","0","0"
"B&amp;S Property Management Llc;","Misc","3","6","8","6","7"
"La Esmeralda Apartments; ","Misc","7","19","53","41","55"
"Runaway Bay Apartments; William M Taylor Realty, LLC; ","Misc","0","1","0","0","0"
"PARK JEFERSON APARTMENTS;","Misc","0","0","0","1","0"
"Sheehan Property Mgt Inc., Agent for the owner of The Masters; ","Misc","0","0","3","0","0"
"Rose Real Estates Group LLC;","Misc","1","0","0","0","0"
"Equity Property Mgnt;","Misc","0","0","0","0","2"
"Avon Village Mhp;","Misc","0","0","3","5","24"
"Independence Properties Llc;","Misc","2","0","0","1","2"
"MBA Property; ","Misc","8","11","11","23","17"
"Classical  Properties LLC; ","Misc","0","0","0","0","1"
"Keystone Properties Management of Indiana, LLC; ","Misc","0","0","0","0","1"
"GMF Berkley Commons, LLC; ","Misc","0","0","104","65","0"
"Williamsburg On The Lake Apartments;","Misc","0","3","0","0","0"
"Park Harrison Apartments; ","Misc","0","2","0","0","5"
"Woodstock Property Group; ","Misc","0","2","1","0","0"
"Advanced Debt Collection, Inc.; Capitol City Properties, LLC; ","Misc","0","0","1","1","0"
"Christmas Lake Properties Assoc., Inc.;","Misc","0","0","0","1","0"
"Courtyards@Roselawn Park Apartments; Lakeside Pointe At Nora Apartments; ","Misc","0","1","0","0","0"
"Concord Village Apartments; ","Misc","0","38","20","0","0"
"CSF Properties LLC; ","Misc","2","0","0","0","0"
"S&amp;B Rental Property LLC; ","Misc","0","0","0","0","2"
"Birge &amp; Held Asset Managment, LLC as agent for English Village Apartments; ","Misc","0","0","0","0","7"
"VILLAGE INVESTMENTS; ","Misc","0","0","2","0","0"
"The Meadows At Simon Farms Property;","Misc","0","0","0","0","7"
"Barrett &amp; Stokely Inc. Managing Agent for the Owner of Mission Hills Village;","Misc","0","0","0","0","3"
"Hamilton Heart Incorporated; IMC Credit Services LLC Assignee of Emergency Medical Group/Riverview; St Vincent Emergency Physicians Inc;","Medical","0","1","0","0","0"
"Sedgwick Property Group Llc                          ;","Misc","1","0","0","2","1"
"Indiana Prestige Properties;","Misc","0","0","1","0","0"
"Clark Memorial Hospital","Medical","97","52","179","165","222"
"ACCESS PROPERTIES UNICORN MANAGEMENT; Zawalich;","Misc","0","0","0","0","1"
"Apen Village Apartments; ","Misc","0","0","0","0","5"
"Reed Real Estate, LLC III;","Misc","0","0","1","0","0"
"MAPS Real Estate Management LLC;","Misc","0","0","0","0","1"
"City Of Fort Wayne Risk; ","Government","3","0","1","0","0"
"Shelbyville, Inc., d/b/a Charles Major Manor;","Misc","0","0","0","0","1"
"Property Management Group;","Misc","2","8","3","2","8"
"Fox Village/Gardner Apts.;","Misc","1","0","0","0","0"
"Campus Walk Apartment;","Misc","0","0","0","1","0"
"Real Estate Solutions Unlimited, LLP; ","Misc","0","0","1","0","0"
"Jackson Properties Llc; ","Misc","0","0","1","0","0"
"Associated Property Management; ","Misc","1","0","0","0","0"
"Axiom Property Management; CONSTITUTION GARDENS; ","Misc","1","0","0","0","0"
"Fountain Village HOA, Inc; ","Misc","0","0","1","6","2"
"SUGAR BUSH FARMS PROPERTY OWNERS ASSOCIATION INC;","Misc","0","0","0","2","0"
"Sedona Woods Property Owners Association Inc;","Misc","0","3","0","0","1"
"Jonesboro Apartments Limited Partnership;","Misc","1","0","0","1","1"
"Level property Management LLC; ","Misc","0","0","0","0","2"
"M &amp; H Properties; Pierce; ","Misc","0","1","0","0","0"
"Pinnacle Square Apartment; ","Misc","0","7","0","0","0"
"Discover Properties LLC agt for BLT Homes; ","Misc","0","0","0","0","6"
"Sunset Real Estate;","Misc","0","1","0","0","0"
"Advanced Urology LLC; Anesthesia Consultants PC; Beltway Surgery Center Llc; IMC Credit Services LLC Assignee of Riverview Anesthesiologist PC; Methodist Sports Medicine Center;","Medical","0","0","1","0","0"
"Astoria Park Apartments By Collection Assignee Cardinal Accounts; Astoria Park Apartments; ","Misc","0","0","0","0","13"
"Northlake Village Apartments;","Misc","0","0","15","40","26"
"Kensington Commons HOA Inc; ","Misc","2","19","0","1","0"
"Zidan Management Group, Inc. As Managing Agent For Marina Apartments; ","Misc","15","49","54","79","115"
"Greenwood Oak Apartments By Collect                         ;","Misc","0","0","0","1","0"
"Kline Properties Inc; ","Misc","6","0","4","2","4"
"American Health Network; IMC Credit Services LLC Assignee of St Francis Imaging Center LLC;","Medical","0","0","1","0","0"
"ERIN REAL ESTATE INC;","Misc","0","1","2","4","3"
"Arlene Lynch Property, LLC;","Misc","0","0","0","1","0"
"VARIN PROPERTY MANAGEMENT,LLC.;","Misc","0","2","0","1","1"
"Real Estate Solutions Unlimited Inc; ","Misc","1","0","0","0","0"
"Emergency Medical Group/Riverview; IMC Credit Services LLC assignee of Riverview Hospital;","Medical","1","0","0","0","0"
"Carmel Creek Apartments &amp; Townhomes; Coppertree Apartments; ","Misc","0","0","0","0","1"
"Re/max Property Management; ","Misc","0","1","1","0","0"
"Yukon Properties, LLC;","Misc","0","0","0","1","0"
"Ale Properties; ","Misc","1","0","0","0","0"
"WHITE LOTUS PROPERTIES, LLC;","Misc","0","0","1","0","1"
"Radiologic Assc Of Nw In, Inc.;","Medical","10","6","3","0","0"
"Pickwick Commons, Inc.; ","Misc","0","0","0","0","1"
"CANDEN APARTMENTS;","Misc","5","9","3","0","0"
"HSH Properties, LLC.;","Misc","0","0","0","0","1"
"Monteo Village Homeowners Association, Inc.; ","Misc","0","0","0","0","1"
"Monteo Village Homeowner's Association, Inc.; ","Misc","0","0","0","0","10"
"Tremain Properties; ","Misc","0","1","0","0","0"
"Northside Anesthesia Services","Medical","314","195","246","272","601"
"T &amp; S Properties; ","Misc","0","0","0","1","0"
"Dorchester Properties, LLC; ","Misc","0","0","0","4","8"
"FWE LLC; Pangea Hills Apartments; ","Misc","0","0","0","0","1"
"Jamar Property Management LLC;","Misc","0","2","0","0","0"
"J.C. Hart Company Inc as managing agent for owner of The Fort Apartments; ","Misc","0","0","0","1","0"
"Complete Real Estate Solution Llc; ","Misc","1","0","0","0","0"
"Tippman Real Estate;","Misc","1","0","0","0","0"
"The Cottages of Fall Creek c/o Mckinley Inc; ","Misc","0","53","0","0","0"
"Browdues Apartments Inc; ","Misc","0","0","0","1","0"
"Brighton Park; Fallwood Apartments; ","Misc","0","2","0","0","0"
"FRIST FRANKLIN PROPERTIES LLC AS MANAGING AGENT FOR FRIST FRANKLIN PROPERTIES; ","Misc","1","0","0","0","0"
"Dan Moore Real Estate;","Misc","0","1","0","0","0"
"Pres. Traub Properties, LLC;","Misc","0","0","1","0","0"
"Meridian Property Management; ","Misc","2","0","0","0","0"
"Penn-Harris-Madison-School Corp.;","Government","0","0","0","0","1"
"Renew Properties Llc; ","Misc","0","1","0","0","0"
"Hermenegildo; Pickwick Farms Apartments; ","Misc","0","0","0","0","10"
"Insurance Auto Auctions","Auto","71","449","630","561","265"
"Wilson's Handyman &amp; Property Mgmt; ","Misc","1","0","0","0","0"
"Harvery Property Management; ","Misc","0","0","1","0","0"
"Medical &amp; Urgent Care Centerdel Pilar; ","Medical","1","0","0","0","0"
"PRIMARY REAL ESTATE, INC.; ","Misc","0","0","0","0","1"
"Nora Commons; ","Misc","0","4","0","0","0"
"Cnc Inv For Orchard Apartments; ","Misc","3","0","0","0","0"
"Westminister Apartments By                          ;","Misc","0","1","0","0","0"
"Fortune Property Group; ","Misc","0","0","8","0","0"
"US Real Estate Holdings II, LLC; ","Misc","0","0","0","2","0"
"IU Credit Union","Misc Lender","319","255","210","406","341"
"PENCE EAST PROPERTY LLC;","Misc","0","0","0","0","1"
"Empirian Property Management, Inc for Willowood East Apartments; ","Misc","5","0","0","0","0"
"Carbajal; Seco Properties LLC; ","Misc","0","0","0","1","0"
"Charleston East Apartments Llc By Collection Assignee Cardinal Accounts Inc; ","Misc","2","0","0","0","0"
"Kline Properties Inc as Managing Agent for Vytas Ankaitis;","Misc","0","0","1","0","0"
"Three Rivers Property Mgmt;","Misc","0","1","0","0","0"
"Meridian Hills North  Apartments; ","Misc","1","0","0","0","0"
"FERRILLS' PROPERTY MANAGEMENT, LLC; ","Misc","0","0","0","1","0"
"Central Leasing Properties;","Misc","0","0","0","1","0"
"Village At Hillside;","Misc","0","0","2","3","0"
"American Residential Properties LP; ","Misc","0","0","0","1","0"
"Friedman Integrated Real Estate Solutions; ","Misc","0","0","0","6","2"
"Logansport Apartments;","Misc","1","2","2","0","0"
"West Haven Commons HOA, Inc.; ","Misc","0","12","4","0","0"
"Cherry Leaf Properties, Llc,                          ;","Misc","0","0","1","0","0"
"Campbell Properties, LLC;","Misc","0","1","0","0","0"
"Village Apts of Cicero;","Misc","0","0","0","2","2"
"Island Club Apartments; Wildwood Village Apartments; ","Misc","0","0","1","0","0"
"WJM Property Management LLC;","Misc","0","0","0","0","11"
"Discover Properties, LLC as managing agent for owner Oak Haven Properties, LLC; Discover Properties, LLC; ","Misc","0","0","0","0","1"
"Level Property Management; ","Misc","0","0","0","2","0"
"Chestnut Hills Apartments;","Misc","8","8","0","7","9"
"DR-5 Properties; Rodgers; ","Misc","0","1","0","0","0"
"P R Properties;","Misc","8","0","0","0","0"
"M. Todd Seif &amp; Ed Maher d/b/a Buckeye Properties; ","Misc","0","0","0","1","0"
"Village Apts Of Fortville III; ","Misc","0","0","1","4","0"
"Wilmarand Albany Apartments; ","Misc","0","0","0","0","1"
"Taylor Real Estates Services;","Misc","0","0","0","1","0"
"STONEY MEADOWSAPARTMENTS;","Misc","0","1","0","0","0"
"Apex Property Management, Inc.; ","Misc","1","6","1","6","1"
"T &amp; D Realty and Property Mgt LLC;","Misc","1","0","1","0","0"
"La Esmeralda fka Arbor Village Apts; ","Misc","0","0","2","0","0"
"Jb Properties;","Misc","0","0","0","0","4"
"Red Mill Apartments/Peters; ","Misc","8","0","0","0","0"
"Diamond Properties Real Estate Services, LLC;","Misc","1","0","0","0","0"
"La Esmeralda Apartments; Ray Skillman Northeast Buick GMC; ","Misc","0","0","1","0","0"
"D &amp; E Properties;","Misc","4","1","0","1","2"
"Aspen Village Apartments; Erie Insurance Exchange a subrogee of Leslie M Summers; ","Misc","0","0","0","0","1"
"Koa Properties, Llc;","Misc","0","2","1","0","4"
"Hartfield Properties, LLC;","Misc","0","1","0","0","1"
"The Cottages Of Fall Creek By Cardinal A; ","Misc","0","2","0","0","0"
"ZABANEH MEDICAL CORP;","Medical","0","0","1","0","0"
"Sms Property Mgt;","Misc","0","0","0","1","0"
"Thom Properties, LLC;","Misc","0","0","0","2","0"
"REIDY REAL ESTATE;","Misc","0","2","1","1","0"
"JL Hair Realty; Spanish Oaks Apartments; ","Misc","1","0","0","0","0"
"Abbey Court Apartments, Llc;","Misc","0","0","0","0","3"
"Strategic Property Services Group, LLC agent for Warren Harbor Apartments; WOODVIEW TERRACE; ","Misc","0","0","1","0","0"
"B. G. Real Estate; Parmerlee; ","Misc","0","0","1","0","0"
"Mills Rental Properties; Mills;","Misc","0","0","1","0","0"
"Village Apartment of Bloomfield;","Misc","0","0","0","1","0"
"Morgan Hospital And Medical Center;","Medical","30","0","0","0","0"
"Regency Prak Apartments;","Misc","1","0","0","0","0"
"Ashton Park Apartments; ","Misc","0","0","1","1","0"
"D and M Property Management LLC; ","Misc","0","0","0","0","5"
"ELON Property Management Co. as managing agent for Willowood East Apartments; ","Misc","0","0","35","14","25"
"Premiere Ii Properties;","Misc","1","4","6","4","11"
"Upland Apartments LLC;","Misc","0","1","1","4","3"
"V&amp;S PROPERTY MANAGMEMENT;","Misc","0","0","1","0","0"
"Clemmons Properties;","Misc","0","0","0","2","0"
"Complete Property Care Llc;","Misc","0","2","0","2","0"
"Buckingham Management, LLC as manaing agent for the owner of Stoneybrook Commons; ","Misc","2","0","0","0","0"
"Regional Anesthesia Group PC;","Medical","0","0","0","0","5"
"McKinely Mgmt agent for Cottages of Fall Creek; ","Misc","2","0","0","0","0"
"CITY OF PORTAGEUTILITY SERVICE BOARD;","Utility","0","7","0","0","0"
"Executive Property Services, LLC; ","Misc","3","4","1","0","0"
"Chelsea Manor Apartments; ","Misc","1","1","0","3","0"
"Broadway Park Apartments;","Misc","0","28","11","3","0"
"MBA Property; Ragucci; ","Misc","0","0","0","0","1"
"Roanoke Heights Apartments;","Misc","0","0","1","0","2"
"Ravenbrook Apartments; ","Misc","0","4","0","0","5"
"B &amp; K Properties Inc; Blue River Property Inc;","Misc","0","1","0","0","0"
"EAST MAIN APARTMENTS BY MANAGING AGENT GUARDIAN MANAGEMENT;","Misc","0","0","2","0","0"
"Able Rentals; The Woods at Oak Crossing Apartments; ","Misc","0","0","0","0","1"
"Norwood Apartments;","Misc","1","0","1","0","0"
"FWE LLC; Pangea Courts Apartments; ","Misc","0","0","0","0","1"
"Stern Property Mgmt; ","Misc","0","1","0","0","0"
"RCM Phoenix Partners, LLC, d/b/a Keystone North Apartments; ","Misc","0","0","12","12","0"
"COUNTRY CLUB APARTMENTS; SANDERS PIANOWSKI LLP;","Misc","0","0","2","0","0"
"Sheenah Property Mgmt Inc mngn The Masters; ","Misc","0","0","5","3","0"
"Traub Rental Properties;","Misc","0","0","0","1","0"
"Senex Services","Debt Buyer","235","262","143","129","1"
